Id,Name,ListHeaderId,Item,Uprice,Uom,MinQty,MaxQty,StartDateActive,CreatedAt,UpdatedAt
13063,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA89294/BXC,32.89,LBS,25,99999,02/14/2023 00:00:00,2025-02-22 08:42:18.8696001,NULL
13076,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59568/BXC,32.89,LBS,25,99999,03/30/2023 00:00:00,2025-02-22 08:42:18.8696017,NULL
13222,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA39222/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:42:30.4913109,NULL
13237,INC - ECOMMERCE WEB SALES - MTO,2407721,PCUT93103/BXC,23.61,LBS,25,99999,07/09/2024 00:00:00,2025-02-22 08:42:30.4913143,NULL
13918,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA44103/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:42:41.8114996,NULL
13960,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49433/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:42:41.8115050,NULL
14132,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA20349/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:42:41.8115260,NULL
14429,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49202/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:42:54.6923720,NULL
15538,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA23152/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:20.9684586,NULL
15646,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29608/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:20.9684847,NULL
15675,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29615/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:20.9684923,NULL
15920,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA40331/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:33.4326110,NULL
16425,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA30188/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:47.6343472,NULL
16642,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA50286/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:47.6344041,NULL
16882,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA60175/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:58.5888864,NULL
16952,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA60211/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:58.5888951,NULL
16981,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59459/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:58.5888988,NULL
16986,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59460/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:58.5888993,NULL
17080,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA50354/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:43:58.5889109,NULL
